"ID";"TypeGefailleerde";"Perioden";"UitgesprokenFaillissementen_1"
"931";"A041718";"1993MM10";"      78"
"932";"A041718";"1993MM11";"      90"
"933";"A041718";"1993MM12";"      77"
"936";"A041718";"1994MM01";"      92"
"937";"A041718";"1994MM02";"     101"
"938";"A041718";"1994MM03";"     135"
"940";"A041718";"1994MM04";"      91"
"941";"A041718";"1994MM05";"      56"
"942";"A041718";"1994MM06";"     108"
"944";"A041718";"1994MM07";"      83"
"945";"A041718";"1994MM08";"      96"
"946";"A041718";"1994MM09";"      97"
"948";"A041718";"1994MM10";"      76"
"949";"A041718";"1994MM11";"     117"
"950";"A041718";"1994MM12";"      79"
"953";"A041718";"1995MM01";"      98"
"954";"A041718";"1995MM02";"      75"
"955";"A041718";"1995MM03";"     107"
"957";"A041718";"1995MM04";"      99"
"958";"A041718";"1995MM05";"      67"
"959";"A041718";"1995MM06";"      58"
"961";"A041718";"1995MM07";"      83"
"962";"A041718";"1995MM08";"     105"
"963";"A041718";"1995MM09";"     103"
"965";"A041718";"1995MM10";"      87"
"966";"A041718";"1995MM11";"     108"
"967";"A041718";"1995MM12";"      74"
"970";"A041718";"1996MM01";"      79"
"971";"A041718";"1996MM02";"      74"
