"ID";"AardWerkzaamheden";"Gebouwbestemming";"Perioden";"Bouwkosten_1";"Bouwvergunningen_2";"Bouwkosten_3";"Bouwvergunningen_4"
"203";"T001212";"A007232";"2017MM12";"     873";"    1384";"   177.1";"   157.1"
"204";"T001212";"A007232";"2018MM01";"     761";"    1421";"   154.3";"   161.3"
"205";"T001212";"A007232";"2018MM02";"     969";"    1454";"   196.6";"   165.0"
"206";"T001212";"A007232";"2018MM03";"    1058";"    1659";"   214.6";"   188.3"
"207";"T001212";"A007232";"2018MM04";"     825";"    1518";"   167.4";"   172.3"
"208";"T001212";"A007232";"2018MM05";"     797";"    1546";"   161.6";"   175.5"
"209";"T001212";"A007232";"2018MM06";"    1047";"    1636";"   212.4";"   185.7"
"210";"T001212";"A007232";"2018MM07";"    1114";"    1698";"   226.1";"   192.7"
"211";"T001212";"A007232";"2018MM08";"     887";"    1469";"   180.1";"   166.7"
"212";"T001212";"A007232";"2018MM09";"    1053";"    1499";"   213.6";"   170.1"
"213";"T001212";"A007232";"2018MM10";"    1552";"    1629";"   314.9";"   184.9"
"214";"T001212";"A007232";"2018MM11";"     940";"    1404";"   190.8";"   159.4"
"215";"T001212";"A007232";"2018MM12";"     964";"    1301";"   195.6";"   147.6"
"216";"T001212";"A007232";"2019MM01";"     762";"    1335";"   154.6";"   151.5"
"217";"T001212";"A007232";"2019MM02";"     745";"    1284";"   151.2";"   145.7"
"218";"T001212";"A007232";"2019MM03";"     904";"    1417";"   183.4";"   160.8"
"219";"T001212";"A007232";"2019MM04";"     894";"    1375";"   181.5";"   156.0"
"220";"T001212";"A007232";"2019MM05";"     747";"    1462";"   151.5";"   165.9"
"221";"T001212";"A007232";"2019MM06";"     796";"    1406";"   161.5";"   159.5"
"222";"T001212";"A007232";"2019MM07";"    1177";"    1627";"   238.8";"   184.6"
"223";"T001212";"A007232";"2019MM08";"     655";"    1088";"   132.9";"   123.5"
"224";"T001212";"A007232";"2019MM09";"     894";"    1309";"   181.3";"   148.6"
"225";"T001212";"A007232";"2019MM10";"    1283";"    1391";"   260.3";"   157.9"
"226";"T001212";"A007232";"2019MM11";"    1028";"    1277";"   208.5";"   144.9"
"227";"T001212";"A007232";"2019MM12";"    1040";"    1453";"   210.9";"   164.9"
"228";"T001212";"A007232";"2020MM01";"     857";"    1379";"   173.9";"   156.6"
"229";"T001212";"A007232";"2020MM02";"     925";"    1374";"   187.6";"   155.9"
"230";"T001212";"A007232";"2020MM03";"    1143";"    1652";"   231.9";"   187.5"
"231";"T001212";"A007232";"2020MM04";"    1041";"    1482";"   211.2";"   168.2"
"232";"T001212";"A007232";"2020MM05";"     874";"    1438";"   177.3";"   163.2"
"233";"T001212";"A007232";"2020MM06";"    1055";"    1589";"   214.0";"   180.4"
"234";"T001212";"A007232";"2020MM07";"    1262";"    1696";"   256.0";"   192.5"
"235";"T001212";"A007232";"2020MM08";"     672";"    1162";"   136.4";"   131.8"
"236";"T001212";"A007232";"2020MM09";"    1211";"    1564";"   245.6";"   177.5"
"237";"T001212";"A007232";"2020MM10";"    1355";"    1482";"   274.9";"   168.2"
"238";"T001212";"A007232";"2020MM11";"    1002";"    1485";"   203.4";"   168.5"
"239";"T001212";"A007232";"2020MM12";"    1518";"    1736";"   307.9";"   197.0"
"240";"T001212";"A007232";"2021MM01";"     958";"    1635";"   194.3";"   185.6"
"241";"T001212";"A007232";"2021MM02";"    1154";"    1947";"   234.2";"   220.9"
"242";"T001212";"A007232";"2021MM03";"    1644";"    2126";"   333.5";"   241.2"
"243";"T001212";"A007232";"2021MM04";"    1482";"    1700";"   300.7";"   192.9"
"244";"T001212";"A007232";"2021MM05";"    1152";"    1552";"   233.7";"   176.1"
"245";"T001212";"A007232";"2021MM06";"    1334";"    1762";"   270.7";"   200.0"
"246";"T001212";"A007232";"2021MM07";"    1442";"    1886";"   292.6";"   214.1"
"247";"T001212";"A007232";"2021MM08";"     819";"    1392";"   166.1";"   157.9"
"248";"T001212";"A007232";"2021MM09";"    1243";"    1670";"   252.1";"   189.5"
"249";"T001212";"A007232";"2021MM10";"    1313";"    1524";"   266.4";"   173.0"
"250";"T001212";"A007232";"2021MM11";"    1333";"    1616";"   270.4";"   183.4"
"251";"T001212";"A007232";"2021MM12";"    1347";"    1704";"   273.4";"   193.4"
"252";"T001212";"A007232";"2022MM01";"    1004";"    1424";"   203.8";"   161.6"
"253";"T001212";"A007232";"2022MM02";"     974";"    1560";"   197.5";"   177.0"
"254";"T001212";"A007232";"2022MM03";"    1587";"    1769";"   322.1";"   200.8"
"255";"T001212";"A007232";"2022MM04";"    1014";"    1598";"   205.7";"   181.4"
"256";"T001212";"A007232";"2022MM05";"    1071";"    1591";"   217.2";"   180.5"
"257";"T001212";"A007232";"2022MM06";"    1327";"    1828";"   269.2";"   207.5"
"258";"T001212";"A007232";"2022MM07";"    1402";"    1718";"   284.5";"   194.9"
"259";"T001212";"A007232";"2022MM08";"     834";"    1277";"   169.1";"   144.9"
"260";"T001212";"A007232";"2022MM09";"    1342";"    1471";"   272.2";"   166.9"
"261";"T001212";"A007232";"2022MM10";"    1375";"    1395";"   278.9";"   158.3"
"262";"T001212";"A007232";"2022MM11";"    1058";"    1338";"   214.6";"   151.9"
"263";"T001212";"A007232";"2022MM12";"     844";"    1299";"   171.2";"   147.4"
"264";"T001212";"A007237";"2012MM01";"     416";"     688";"    82.5";"    98.3"
"265";"T001212";"A007237";"2012MM02";"     376";"     677";"    74.5";"    96.8"
"266";"T001212";"A007237";"2012MM03";"     687";"     720";"   136.2";"   102.8"
"267";"T001212";"A007237";"2012MM04";"     509";"     722";"   100.8";"   103.1"
"268";"T001212";"A007237";"2012MM05";"     533";"     866";"   105.6";"   123.7"
"269";"T001212";"A007237";"2012MM06";"     627";"     784";"   124.2";"   112.0"
"270";"T001212";"A007237";"2012MM07";"     605";"     841";"   120.0";"   120.1"
"271";"T001212";"A007237";"2012MM08";"     462";"     670";"    91.5";"    95.7"
"272";"T001212";"A007237";"2012MM09";"     413";"     647";"    81.8";"    92.4"
"273";"T001212";"A007237";"2012MM10";"     447";"     654";"    88.7";"    93.5"
"274";"T001212";"A007237";"2012MM11";"     486";"     589";"    96.3";"    84.1"
"275";"T001212";"A007237";"2012MM12";"     494";"     542";"    97.9";"    77.5"
"276";"T001212";"A007237";"2013MM01";"     351";"     628";"    69.6";"    89.7"
"277";"T001212";"A007237";"2013MM02";"     439";"     597";"    87.0";"    85.3"
"278";"T001212";"A007237";"2013MM03";"     432";"     662";"    85.6";"    94.5"
"279";"T001212";"A007237";"2013MM04";"     492";"     668";"    97.6";"    95.5"
"280";"T001212";"A007237";"2013MM05";"     522";"     686";"   103.4";"    98.0"
"281";"T001212";"A007237";"2013MM06";"     544";"     685";"   107.8";"    97.8"
"282";"T001212";"A007237";"2013MM07";"     431";"     740";"    85.4";"   105.7"
"283";"T001212";"A007237";"2013MM08";"     403";"     624";"    79.8";"    89.2"
"284";"T001212";"A007237";"2013MM09";"     512";"     618";"   101.5";"    88.3"
"285";"T001212";"A007237";"2013MM10";"     423";"     598";"    83.9";"    85.4"
"286";"T001212";"A007237";"2013MM11";"     330";"     542";"    65.4";"    77.5"
"287";"T001212";"A007237";"2013MM12";"     472";"     593";"    93.5";"    84.7"
"288";"T001212";"A007237";"2014MM01";"     438";"     602";"    86.7";"    85.9"
"289";"T001212";"A007237";"2014MM02";"     452";"     611";"    89.5";"    87.3"
"290";"T001212";"A007237";"2014MM03";"     375";"     614";"    74.3";"    87.7"
"291";"T001212";"A007237";"2014MM04";"     454";"     696";"    90.0";"    99.5"
"292";"T001212";"A007237";"2014MM05";"     338";"     645";"    66.9";"    92.2"
"293";"T001212";"A007237";"2014MM06";"     402";"     667";"    79.7";"    95.2"
"294";"T001212";"A007237";"2014MM07";"     450";"     732";"    89.2";"   104.5"
"295";"T001212";"A007237";"2014MM08";"     344";"     501";"    68.3";"    71.5"
"296";"T001212";"A007237";"2014MM09";"     504";"     584";"    99.9";"    83.4"
"297";"T001212";"A007237";"2014MM10";"     512";"     605";"   101.5";"    86.5"
"298";"T001212";"A007237";"2014MM11";"     337";"     487";"    66.7";"    69.6"
"299";"T001212";"A007237";"2014MM12";"     535";"     565";"   106.0";"    80.7"
"300";"T001212";"A007237";"2015MM01";"     375";"     510";"    74.2";"    72.8"
"301";"T001212";"A007237";"2015MM02";"     484";"     553";"    95.9";"    79.1"
"302";"T001212";"A007237";"2015MM03";"     459";"     603";"    91.0";"    86.2"
"303";"T001212";"A007237";"2015MM04";"     470";"     598";"    93.1";"    85.4"
"304";"T001212";"A007237";"2015MM05";"     420";"     516";"    83.3";"    73.8"
"305";"T001212";"A007237";"2015MM06";"     362";"     649";"    71.7";"    92.7"
"306";"T001212";"A007237";"2015MM07";"     451";"     704";"    89.5";"   100.5"
"307";"T001212";"A007237";"2015MM08";"     428";"     514";"    84.8";"    73.5"
"308";"T001212";"A007237";"2015MM09";"     383";"     584";"    75.9";"    83.5"
"309";"T001212";"A007237";"2015MM10";"     390";"     518";"    77.3";"    74.0"
"310";"T001212";"A007237";"2015MM11";"     371";"     485";"    73.5";"    69.2"
"311";"T001212";"A007237";"2015MM12";"     426";"     550";"    84.5";"    78.5"
"312";"T001212";"A007237";"2016MM01";"     265";"     446";"    52.4";"    63.7"
"313";"T001212";"A007237";"2016MM02";"     385";"     550";"    76.2";"    78.5"
"314";"T001212";"A007237";"2016MM03";"     430";"     561";"    85.1";"    80.2"
"315";"T001212";"A007237";"2016MM04";"     568";"     588";"   112.6";"    84.0"
"316";"T001212";"A007237";"2016MM05";"     386";"     583";"    76.6";"    83.3"
"317";"T001212";"A007237";"2016MM06";"     478";"     682";"    94.7";"    97.4"
"318";"T001212";"A007237";"2016MM07";"     394";"     607";"    78.0";"    86.6"
"319";"T001212";"A007237";"2016MM08";"     342";"     524";"    67.7";"    74.9"
